temperature,pressure,humidity,gas_resistance
27.64,1019,40.99,0.6179775280898876
27.63,1019,40.98,0.6179775280898876
27.63,1019,40.98,0.6179775280898876
27.64,1019,40.98,0.6235955056179775
27.64,1019,40.98,0.6235955056179775
27.65,1019,40.99,0.6179775280898876
27.64,1019,40.98,0.6179775280898876
27.64,1019,40.98,0.6179775280898876
27.64,1019,40.98,0.6235955056179775
27.63,1019,40.99,0.6235955056179775
27.63,1019,40.99,0.6235955056179775
27.63,1019,40.99,0.6235955056179775
27.63,1019,40.99,0.6235955056179775
27.63,1019,40.99,0.6235955056179775
27.62,1019,40.99,0.6235955056179775
27.62,1019,40.99,0.6235955056179775
27.63,1019,40.99,0.6292134831460674
27.63,1019,40.99,0.6292134831460674
27.63,1019,40.99,0.6292134831460674
27.63,1019,40.97,0.6292134831460674
27.63,1019,40.98,0.6292134831460674
27.64,1019,40.98,0.6292134831460674
27.64,1019,40.98,0.6292134831460674
27.63,1019,40.99,0.6292134831460674
27.63,1019,40.99,0.6292134831460674
27.63,1019,41,0.6292134831460674
27.63,1019,41,0.6292134831460674
27.63,1019,40.99,0.6292134831460674
27.63,1019,41,0.6292134831460674
27.63,1019,41,0.6292134831460674
27.63,1019,41.01,0.6292134831460674
27.63,1019,41.02,0.6292134831460674
27.63,1019,41,0.6292134831460674
27.63,1019,41,0.6292134831460674
27.63,1019,40.98,0.6348314606741573
27.63,1019,41.02,0.6348314606741573
27.63,1019,41.02,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.64,1019,41,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.64,1019,40.99,0.6348314606741573
27.63,1019,40.98,0.6348314606741573
27.63,1019,41,0.6348314606741573
27.63,1019,41,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.62,1019,40.98,0.6348314606741573
27.63,1019,40.99,0.6348314606741573
27.63,1019,41.01,0.6348314606741573
27.63,1019,41.01,0.6348314606741573
27.62,1019,41,0.6348314606741573
27.62,1019,40.99,0.6348314606741573
27.62,1019,41,0.6348314606741573
27.62,1019,41,0.6348314606741573
27.62,1019,41.01,0.6348314606741573
27.62,1019,40.99,0.6348314606741573
27.62,1019,40.99,0.6348314606741573
27.62,1019,41,0.6292134831460674
27.63,1019,40.98,0.6292134831460674
27.64,1019,41,0.6292134831460674
27.64,1019,41,0.6292134831460674
27.64,1019,40.99,0.6292134831460674
27.63,1019,41.02,0.6235955056179775
27.63,1019,41.02,0.6235955056179775
27.64,1019,40.98,0.6235955056179775
27.64,1019,41.02,0.6179775280898876
27.66,1019,41.03,0.6179775280898876
27.66,1019,41.03,0.6179775280898876
27.65,1019,41,0.6123595505617978
27.66,1019,41.03,0.6067415730337079
27.67,1019,41,0.6067415730337079
27.67,1019,41,0.6067415730337079
27.67,1019,41.01,0.601123596
27.67,1019,41.03,0.601123596
27.67,1019,41.03,0.601123596
27.68,1019,41.03,0.5955056179775281
27.68,1019,41.01,0.5955056179775281
27.68,1019,41.03,0.5898876404494382
27.68,1019,41.03,0.5898876404494382
27.68,1019,41.03,0.5898876404494382
27.69,1019,41.04,0.5842696629213483
27.7,1019,41.03,0.5842696629213483
27.7,1019,41.03,0.5842696629213483
27.7,1019,41.03,0.5842696629213483
27.7,1019,41.05,0.5786516853932584
27.7,1019,41.05,0.5786516853932584
27.7,1019,41.04,0.5786516853932584
27.7,1019,41.04,0.5786516853932584
27.7,1019,41.05,0.5786516853932584
27.7,1019,41.05,0.5786516853932584
27.7,1019,41.06,0.5730337078651685
27.71,1019,41.06,0.5730337078651685
27.71,1019,41.04,0.5730337078651685
27.71,1019,41.04,0.5730337078651685
27.71,1019,41.04,0.5730337078651685
