timestamp,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,humidity,temperature,pressure
2026-05-26 19:07:53,49300,37600,29200,23400,18700,15200,12500,10200,8700,7500,42.86,25.85,1019
2026-05-26 19:07:54,43700,33900,26600,21000,17000,14000,11300,9500,8100,7100,42.99,25.78,1019
2026-05-26 19:07:56,40000,31200,24600,19400,16000,13100,10600,8900,7700,6700,43.10,25.72,1019
2026-05-26 19:07:57,36900,29000,22400,18300,15000,12300,10000,8500,7300,6400,43.22,25.66,1019
2026-05-26 19:07:58,34600,27200,21300,17300,14200,11500,9600,8100,7100,6200,43.34,25.60,1019
2026-05-26 19:08:00,32700,25800,20200,16500,13600,11000,9200,7800,6800,6000,43.46,25.54,1019
2026-05-26 19:08:01,31000,24700,19300,15800,13000,10600,8900,7600,6600,5700,43.57,25.49,1019
2026-05-26 19:08:03,30200,23600,18500,15100,12500,10200,8600,7300,6300,5600,43.68,25.45,1019
2026-05-26 19:08:04,28900,22200,17800,14600,12100,9800,8300,7100,6200,5600,43.81,25.49,1019
2026-05-26 19:08:05,27900,21300,17200,14200,11500,9600,8100,6900,6000,5600,43.92,25.48,1019
2026-05-26 19:08:07,27100,20800,16800,13800,11200,9400,7900,6800,5900,5600,44.01,25.45,1019
2026-05-26 19:08:08,26200,20300,16400,13400,10900,9200,7700,6600,5700,5600,44.07,25.42,1019
2026-05-26 19:08:10,25400,19600,15800,13100,10700,8900,7500,6500,5600,5600,44.16,25.40,1019
2026-05-26 19:08:11,24900,19200,15500,12700,10400,8700,7400,6400,5600,5600,44.21,25.39,1019
2026-05-26 19:08:13,24100,18600,15100,12500,10200,8500,7300,6200,5600,5600,44.28,25.36,1019
2026-05-26 19:08:14,23500,18200,0,0,10500,8500,7200,6200,5600,5600,100.00,25.10,1019
2026-05-26 19:08:16,23600,18400,14900,12400,0,0,7800,6400,5600,5600,100.00,24.77,1019
2026-05-26 19:08:17,23800,18600,0,0,10800,8700,7400,6400,5600,5600,100.00,24.95,1019
2026-05-26 19:08:19,23800,18600,15200,12500,10300,8700,7400,6300,5600,5600,44.99,25.26,1019
